instrument_name,strike_price,side,bid_ask
NIFTY,12000.0,PE,1.05
NIFTY,13000.0,PE,2.0
NIFTY,14000.0,PE,1.05
NIFTY,15000.0,PE,20.05
NIFTY,16000.0,PE,2.3
NIFTY,16500.0,PE,2.3
NIFTY,17000.0,PE,26.05
NIFTY,18000.0,PE,47.6
NIFTY,19000.0,PE,70.35
NIFTY,20000.0,PE,118.95
NIFTY,21000.0,PE,155.0
NIFTY,22000.0,PE,281.0
NIFTY,22700.0,PE,1.85
NIFTY,22750.0,PE,1.65
NIFTY,22800.0,PE,1.85
NIFTY,22850.0,PE,9.1
NIFTY,22900.0,PE,10.3
NIFTY,22950.0,PE,10.2
NIFTY,23000.0,PE,366.0
NIFTY,23050.0,PE,11.65
NIFTY,23100.0,PE,13.0
NIFTY,23150.0,PE,10.45
NIFTY,23200.0,PE,11.35
NIFTY,23250.0,PE,11.8
NIFTY,23300.0,PE,12.5
NIFTY,23350.0,PE,11.55
NIFTY,23400.0,PE,12.3
NIFTY,23450.0,PE,12.6
NIFTY,23500.0,PE,15.7
NIFTY,23550.0,PE,14.3
NIFTY,23600.0,PE,16.0
NIFTY,23650.0,PE,16.3
NIFTY,23700.0,PE,16.35
NIFTY,23750.0,PE,36.45
NIFTY,23800.0,PE,36.7
NIFTY,23850.0,PE,40.15
NIFTY,23900.0,PE,41.05
NIFTY,23950.0,PE,42.95
NIFTY,24000.0,PE,470.0
NIFTY,24050.0,PE,46.3
NIFTY,24100.0,PE,47.8
NIFTY,24150.0,PE,49.6
NIFTY,24200.0,PE,51.95
NIFTY,24250.0,PE,53.85
NIFTY,24300.0,PE,56.05
NIFTY,24350.0,PE,58.25
NIFTY,24400.0,PE,60.9
NIFTY,24450.0,PE,64.05
NIFTY,24500.0,PE,68.5
NIFTY,24550.0,PE,70.1
NIFTY,24600.0,PE,72.6
NIFTY,24650.0,PE,77.2
NIFTY,24700.0,PE,80.45
NIFTY,24750.0,PE,85.55
NIFTY,24800.0,PE,89.55
NIFTY,24850.0,PE,95.3
NIFTY,24900.0,PE,99.95
NIFTY,24950.0,PE,106.0
NIFTY,25000.0,PE,750.0
NIFTY,25050.0,PE,118.3
NIFTY,25100.0,PE,126.05
NIFTY,25150.0,PE,132.35
NIFTY,25200.0,PE,139.7
NIFTY,25250.0,PE,142.0
NIFTY,25300.0,PE,155.0
NIFTY,25350.0,PE,155.5
NIFTY,25400.0,PE,175.2
NIFTY,25450.0,PE,176.3
NIFTY,25500.0,PE,199.05
NIFTY,25550.0,PE,206.35
NIFTY,25600.0,PE,220.4
NIFTY,25650.0,PE,229.1
NIFTY,25700.0,PE,246.8
NIFTY,25750.0,PE,259.35
NIFTY,25800.0,PE,274.55
NIFTY,25850.0,PE,289.0
NIFTY,25900.0,PE,306.05
NIFTY,25950.0,PE,322.4
NIFTY,26000.0,PE,1011.0
NIFTY,26050.0,PE,348.2
NIFTY,26100.0,PE,375.2
NIFTY,26150.0,PE,387.6
NIFTY,26200.0,PE,415.0
NIFTY,26250.0,PE,425.05
NIFTY,26300.0,PE,456.95
NIFTY,26350.0,PE,464.95
NIFTY,26400.0,PE,502.35
NIFTY,26450.0,PE,512.35
NIFTY,26500.0,PE,550.65
NIFTY,26550.0,PE,571.5
NIFTY,26600.0,PE,620.6
NIFTY,26650.0,PE,670.95
NIFTY,26700.0,PE,721.05
NIFTY,26750.0,PE,770.6
NIFTY,26800.0,PE,820.35
NIFTY,26850.0,PE,867.5
NIFTY,26900.0,PE,919.35
NIFTY,26950.0,PE,967.6
NIFTY,27000.0,PE,1250.0
NIFTY,27050.0,PE,1045.6
NIFTY,27100.0,PE,1113.4
NIFTY,27150.0,PE,1147.45
NIFTY,27200.0,PE,1213.3
NIFTY,27250.0,PE,1253.6
NIFTY,27300.0,PE,1318.6
NIFTY,27350.0,PE,1364.65
NIFTY,27400.0,PE,1406.8
NIFTY,27450.0,PE,1444.25
NIFTY,27500.0,PE,1519.2
NIFTY,27550.0,PE,1567.25
NIFTY,27600.0,PE,1615.4
NIFTY,27650.0,PE,1642.7
NIFTY,27700.0,PE,1714.0
NIFTY,27750.0,PE,1767.9
NIFTY,27800.0,PE,1804.25
NIFTY,28000.0,PE,1780.0
NIFTY,29000.0,PE,2762.0
NIFTY,30000.0,PE,3739.55
NIFTY,31000.0,PE,4473.5
